id,diss_set,ss_time,ll_time,delayed
1,1,5,6,not_delayed
2,1,7,9,not_delayed
3,1,10,14,not_delayed
4,1,1,2,not_delayed
5,1,20,25,not_delayed
6,1,15,20,not_delayed
7,2,5,15,not_delayed
8,2,7,21,not_delayed
9,2,10,22,not_delayed
10,2,1,10,not_delayed
11,2,20,40,not_delayed
12,2,15,75,not_delayed
1,1,10,11,delayed
2,1,24,26,delayed
3,1,24,28,delayed
4,1,6,7,delayed
5,1,42,47,delayed
6,1,40,45,delayed
7,2,10,20,delayed
8,2,24,38,delayed
9,2,24,36,delayed
10,2,6,15,delayed
11,2,42,62,delayed
12,2,40,100,delayed
