ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,prize1,prize2,prize3,prize4,prize5,prize6,prize7,prize8,prize9,prize10,prize11,prize12,ic,Q3,Q5,Q7,Q9,Q11,Q13,Q15,Q17,Q35,Q37,Q40,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q42,nv_nz_61_15,nv_nz_61_20,nv_nz_61_25,nv_nz_61_30,nv_nz_61_35,nv_nz_61_45,nv_nz_61_50,nv_nz_61_55,nv_nz_61_60,nv_nz_61sp,nv_nz_84_20,nv_nz_84_30,nv_nz_84_40,nv_nz_84_50,nv_nz_84_60,nv_nz_84_65,nv_nz_84_70,nv_nz_84_75,nv_nz_84_80,nv_nz_84sp,nv_nz_107_35,nv_nz_107_45,nv_nz_107_60,nv_nz_107_75,nv_nz_107_85,nv_nz_107_90,nv_nz_107_95,nv_nz_107_100,nv_nz_107_105,nv_nz_107s,nv_z_61_15,nv_z_61_20,nv_z_61_25,nv_z_61_30,nv_z_61_35,nv_z_61_45,nv_z_61_50,nv_z_61_55,nv_z_61_60,nv_z_61s,nv_z_84_20,nv_z_84_30,nv_z_84_40,nv_z_84_50,nv_z_84_60,nv_z_84_65,nv_z_84_70,nv_z_84_75,nv_z_84_80,nv_z_84,nv_z_107_35,nv_z_107_45,nv_z_107_60,nv_z_107_75,nv_z_107_85,nv_z_107_90,nv_z_107_95,nv_z_107_100,nv_z_107_105,nv_z_107s,v_nz_61_15,v_nz_61_20,v_nz_61_25,v_nz_61_30,v_nz_61_35,v_nz_61_45,v_nz_61_50,v_nz_61_55,v_nz_61_60,v_nz_61s,v_nz_84_20,v_nz_84_30,v_nz_84_40,v_nz_84_50,v_nz_84_60,v_nz_84_65,v_nz_84_70,v_nz_84_75,v_nz_84_80,v_nz_84s,v_nz_107_35,v_nz_107_45,v_nz_107_60,v_nz_107_75,v_nz_107_85,v_nz_107_90,v_nz_107_95,v_nz_107_100,v_nz_107_105,v_nz_107,v_z_61_15,v_z_61_20,v_z_61_25,v_z_61_30,v_z_61_35,v_z_61_45,v_z_61_50,v_z_61_55,v_z_61_60,v_z_61s,v_z_84_20,v_z_84_30,v_z_84_40,v_z_84_50,v_z_84_60,v_z_84_65,v_z_84_70,v_z_84_75,v_z_84_80,v_z_84s,v_z_107_35,v_z_107_45,v_z_107_60,v_z_107_75,v_z_107_85,v_z_107_90,v_z_107_95,v_z_107_100,v_z_107_105,v_z_107,Q55,rs_1_1,rs_2_1,rs_3_1,rb_1_1,rb_2_1,rb_3_1,sorbet,decide,conf,what_conf,reader,age,gender,edu,race_1,race_2,race_3,race_4,race_5,race_6,race_7,comments,thanks,LocationLatitude,LocationLongitude,LocationAccuracy
R_u9akHpOxh17fBO9,Default Response Set,Anonymous,,,128.6.37.83,0,10/26/2015 12:11,10/26/2015 12:19,1,61 dollars in 8 days,84 dollars in 11 days,107 dollars in 28 days,0 dollars in 8 days,84 dollars in 11 days,107 dollars in 28 days,56 dollars in 8 days,,106 dollars in 28 days,60 dollars in 8 days,89 dollars in 11 days,105 dollars in 28 days,1,1,1,2,,1,2,,1,1,1,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,1,1,,,,,,1,1,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,1,5,18,18,,,,1,Rational decisions,2,,10,2,1,3,1,,,,,,,,1,40.55160522,-74.46369934,-1
R_Dqwyr4gZgXos8mt,Default Response Set,Anonymous,,,128.6.36.142,0,10/26/2015 12:14,10/26/2015 12:20,1,61 dollars in 8 days,84 dollars in 11 days,107 dollars in 28 days,0 dollars in 8 days,84 dollars in 11 days,0 dollars in 28 days,60 dollars in 8 days,78 dollars in 11 days,102 dollars in 28 days,61 dollars in 8 days,82 dollars in 11 days,105 dollars in 28 days,1,1,1,2,,1,2,,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48,51,47,,,,1,I would always prefer money that day rather than waiting,1,I dont understand why,READER,3,2,3,1,,,,,,,,1,40.48350525,-74.44319916,-1
R_1GVUkKezjwGkAu6,Default Response Set,Anonymous,,,128.6.37.58,0,10/26/2015 12:13,10/26/2015 12:20,1,61 dollars in 8 days,84 dollars in 11 days,107 dollars in 28 days,0 dollars in 8 days,0 dollars in 11 days,107 dollars in 28 days,61 dollars in 8 days,82 dollars in 11 days,,0 dollars in 8 days,82 dollars in 11 days,0 dollars in 28 days,1,1,1,2,,1,2,,1,1,1,1,2,2,2,2,2,2,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,,,,,,,,,,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,,,,42,47,51,1,Just Chose it ,1,the general point of the study ,reader,3,2,2,1,,,,,,,,1,40.55160522,-74.46369934,-1
R_1hFOXCDjcV18zfm,Default Response Set,Anonymous,,,128.6.37.59,0,10/26/2015 12:14,10/26/2015 12:20,1,61 dollars in 8 days,84 dollars in 11 days,,,0 dollars in 11 days,0 dollars in 28 days,,87 dollars in 11 days,102 dollars in 28 days,,0 dollars in 11 days,0 dollars in 28 days,1,1,1,2,,1,2,,1,1,1,1,1,2,2,2,1,1,1,1,1,1,,,,,,,,,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,,,,,,,,,1,,,,,,,,,,1,2,2,2,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,55,34,56,,,,1,,1,Left right and sometimes the money differences were hugr,10,2,1,2,,,,1,,,,,1,40.55160522,-74.46369934,-1
R_2WHn4s2jlajTB1u,Default Response Set,Anonymous,,,128.6.36.172,0,10/26/2015 12:15,10/26/2015 12:21,1,61 dollars in 8 days,84 dollars in 11 days,107 dollars in 28 days,0 dollars in 8 days,0 dollars in 11 days,107 dollars in 28 days,,84 dollars in 11 days,106 dollars in 28 days,61 dollars in 8 days,82 dollars in 11 days,105 dollars in 28 days,1,1,1,2,,1,2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,,,,,,1,,1,everything,,10,3,4,,,,,,,1,,1,40.48350525,-74.44319916,-1
R_3qwJR74sraWko3R,Default Response Set,Anonymous,,,128.6.37.178,0,10/26/2015 12:14,10/26/2015 12:21,1,107 cents today,84 dollars in 11 days,,0 dollars in 8 days,,,,,106 dollars in 28 days,57 dollars in 8 days,,,1,1,1,2,,1,2,,1,1,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,1,,,,100,100,100,1,,1,"Was I suppose to spin the wheel everytime, or should i just take the money on that day because I prefer that instead",,2,1,3,1,,,,,,,,1,40.55160522,-74.46369934,-1
R_2vixcGlo2XK7614,Default Response Set,Anonymous,,,128.6.36.118,0,10/26/2015 12:14,10/26/2015 12:21,1,61 dollars in 8 days,84 dollars in 11 days,107 dollars in 28 days,0 dollars in 8 days,,107 dollars in 28 days,61 dollars in 8 days,,105 dollars in 28 days,0 dollars in 8 days,,105 dollars in 28 days,1,1,1,2,,1,2,,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,,,,,1,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,55,76,1,,2,,,3,3,3,,,,1,,,,,1,40.48350525,-74.44319916,-1
R_1jp3cfyI8dmhLEH,Default Response Set,Anonymous,,,128.6.36.72,0,10/26/2015 12:13,10/26/2015 12:21,1,,,,,,,,,,,,,1,1,1,2,,1,2,,1,1,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,1,47,52,42,,,,1,I would rather get the guaranteed money up front than risk it.,2,,Reader,2,1,3,,,,1,,,,,1,40.48350525,-74.44319916,-1
R_3EhjELVvA047WFT,Default Response Set,Anonymous,,,128.6.37.13,0,10/26/2015 12:14,10/26/2015 12:21,1,61 dollars in 8 days,84 dollars in 11 days,107 dollars in 28 days,0 dollars in 8 days,84 dollars in 11 days,0 dollars in 28 days,56 dollars in 8 days,84 dollars in 11 days,106 dollars in 28 days,0 dollars in 8 days,89 dollars in 11 days,0 dollars in 28 days,1,1,1,2,,1,2,,1,1,1,1,1,1,2,1,2,1,,,,1,,,,,,,1,,,1,,,,,,1,2,,,1,,,,,1,,,,,1,,,,,,1,,,,1,,,,,,,1,,,1,,,,1,,,,,,1,,,,1,,,,,,1,,,,1,,,,,,1,,,,,,1,,,,1,,,,,,1,,,,1,,,,,1,,,,,1,1,,,,,,,,,1,1,,,,29,64,21,1,I made the decision that would result in the most expected value,2,,Reader,3,1,2,,,,1,,,,No,1,40.55160522,-74.46369934,-1
R_YXqS6skaZUbUxHP,Default Response Set,Anonymous,,,128.6.37.101,0,10/26/2015 12:14,10/26/2015 12:21,1,61 dollars in 8 days,84 dollars in 11 days,107 dollars in 28 days,61 dollars in 8 days,0 dollars in 11 days,0 dollars in 28 days,56 dollars in 8 days,82 dollars in 11 days,102 dollars in 28 days,0 dollars in 8 days,82 dollars in 11 days,106 dollars in 28 days,1,1,1,2,,1,2,,1,1,1,1,,,,,,,,,1,1,,,,,,,,,2,1,,,,,,,,,2,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,2,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,1,,,,99,99,100,1,The amount of money,1,All of it,I don't knoow,2,1,4,,,,,,1,,,1,40.55160522,-74.46369934,-1
